id,shelter_name,link_title,link_url,Address,City,State,Zip,phone,hours,hours2,notes,email
1,Pawsitive Match Rescue Foundation,Pawsitive Match Rescue Foundation,http://pawsitivematch.org/,62 Brightonstone Pass SE ,Calgary,Alberta,T2Z 0K2,(403) 201-1574,Contact to schedule an appointment.,,,th.shadow@hotmail.com
2,Pawsitive Match Rescue Foundation at Spring Bank Pet Resort,Pawsitive Match Rescue Foundation at Spring Bank Pet Resort,http://pawsitivematch.org/,104 Commercial Court,Calgary,Alberta,T2Z 0K2,(403) 201-1574,Contact to schedule an appointment.,,,th.shadow@hotmail.com
3,Northeast Arkansans for Animals at Petco,Northeast Arkansans for Animals at Petco,http://www.petfinder.com/shelters/AR55.html,1207 S. Caraway Road,Jonesboro,AR,72401,(870) 932-1955,"Sat, 1pm-4pm",,,wanndat@fastdata.net
4,Animal Humane New Mexico,Animal Humane New Mexico,http://animalhumanenm.org/,615 Virginia St SE,Albuquerque,NM,87108,(505) 255-5523,"Mon - Fri, 9am-5pm",,,dawng@animalhumanenm.org
5,Animal Humane New Mexico at NE Heights Adoption & Training Center,Animal Humane New Mexico at NE Heights Adoption & Training Center,http://animalhumanenm.org/,9132 Montgomery Blvd NE,Albuquerque,NM,87111,(505) 323-PETS (7387),"Mon - Fri, 9am-5pm",,,dawng@animalhumanenm.org
6,"Animal Humane New Mexico at 
Westside Adoption & Training Center","Animal Humane New Mexico at 
Westside Adoption & Training Center",http://animalhumanenm.org/,10700 Corrales Rd NW,Albuquerque,NM,87114,(505) 890-PETZ (7389),"Mon - Fri, 9am-5pm",,,dawng@animalhumanenm.org
7,"The Cat Network, Inc at Petco","The Cat Network, Inc at Petco",http://www.thecatnetwork.org/,1121 5th Street,Miami,Fl,33139,(305) 531-1678,"Sat & Sun, 12pm-4pm",,,info@thecatnetwork.org
8,"The Cat Network, Inc at Petco","The Cat Network, Inc at Petco",http://www.thecatnetwork.org/,12014 Sw 88th Street,Miami,FL,33186,(305) 412-0244,"Sat & Sun, 12pm-4pm",,,info@thecatnetwork.org
9,"The Cat Network, Inc at Petco","The Cat Network, Inc at Petco",http://www.thecatnetwork.org/,2565 Ne 10th Court,Homestead,FL,33035,(305) 248-8228,"Sat & Sun, 12pm-4pm",,,info@thecatnetwork.org
10,"The Cat Network, Inc at Petco","The Cat Network, Inc at Petco",http://www.thecatnetwork.org/,18579 South Dixie Highway,Miami,FL,33157,(305) 252-4065,"Sat & Sun, 12pm-4pm",,,info@thecatnetwork.org
11,"The Cat Network, Inc at PetSmart","The Cat Network, Inc at PetSmart",http://www.thecatnetwork.org/,14025 Sw 88th St.,Miami,FL,33186,(305) 382-9911,"Sat & Sun, 12pm-4pm",,,info@thecatnetwork.org
12,"The Cat Network, Inc at PetSmart","The Cat Network, Inc at PetSmart",http://www.thecatnetwork.org/,13621 S Dixie Hwy,Miami,FL,33176,(305) 253-5943,"Sat & Sun, 12pm-4pm",,,info@thecatnetwork.org
13,"The Cat Network, Inc at PetSmart","The Cat Network, Inc at PetSmart",http://www.thecatnetwork.org/,3301 Southwest 22nd St.,Coral Gables,FL,33145,(305) 448-4403,"Sat & Sun, 12pm-4pm",,,info@thecatnetwork.org
14,"The Cat Network, Inc at PetSmart","The Cat Network, Inc at PetSmart",http://www.thecatnetwork.org/,"3101 N Miami Ave, Suite 110",Miami,FL,33127,(305) 573-8026,"Sat & Sun, 12pm-4pm",,,info@thecatnetwork.org
15,"The Cat Network, Inc","The Cat Network, Inc",http://www.thecatnetwork.org/,7850 West Commercial Blvd,Lauderhill,FL,33351,(954) 749-1555,"Sat & Sun, 12pm-4pm",,,info@thecatnetwork.org
16,Humane Society of Greater Dayton,Humane Society of Greater Dayton,http://www.humanesocietydayton.org/,1661 Nicholas Road,Dayton,OH,45417,(937) 268-7387,"Tues - Fri, 1pm-6pm; Sat, 12pm-4pm",Contact 24 hours in advance. Under 16 must be accompanied by a parent or guardian.,,clewis@hsdayton.org
17,Brother Wolf Animal Rescue,Brother Wolf Animal Rescue,http://www.bwar.org/,31 Glendale Ave,Asheville,NC,28803,(828) 505-3440,"Mon - Sat, 8am-8pm; Sun, 8am-6pm",,,director@bwar.org
18,Home FurEver Rescue at Petco,Home FurEver Rescue at Petco,http://www.homefurever.com/,1217 Coolidge Hwy,Detroit,MI,48210,(248) 643-0694,"Sat, 12pm-4pm",,,homefurever@gmail.com
19,Home FurEver Rescue at Petco,Home FurEver Rescue at Petco,http://www.homefurever.com/,"32074 Gratiot, Roseville Michigan",Roseville,MI,48066,(586) 294-0519,"Sat, 12pm-4pm",,,homefurever@gmail.com
20,Good Mews Animal Foundation,Good Mews Animal Foundation,http://goodmews.org/,"736 Johnson Ferry Rd, Suite A3",Marietta,GA,30068,(770) 499-2287,"Sat, 10am-4pm; Second, Third, and Fourth Sun. of each month, 1pm-4pm",Contact for additional hours.,,nancyriley2001@yahoo.com
21,Humane Society of Charlotte,Humane Society of Charlotte,http://humanesocietyofcharlotte.org/,2700 Toomey Ave,Charlotte,NC,28203,(704) 377-0534,"Tues, 11am-2pm",,,cbelteau@humanesocietyofcharlotte.org
22,Escondido Humane Society,Escondido Humane Society,http://www.escondidohumanesociety.org/,3450 E. Valley Parkway,Escondido,CA,92027,(760) 888-2275,"All week, 7am-10am",Contact for additional hours.,," 
 
media@escondidohumanesociety.org"
23,Tennessee Humane Animal League Pet Placement Center,Tennessee Humane Animal League Pet Placement Center,http://www.thalppc.com/,5975 Dayton Blvd,Chattanooga,TN,37415,(423) 877-0738,"Wed - Sun, 12pm-5pm",,,francesgeier@gmail.com
24,Humane Society of Indianapolis,Humane Society of Indianapolis,http://indyhumane.org/,7929 N Michigan Rd,Indianapolis,IN,46268,(317) 872-5650,"Mon - Wed, & Fri, 1pm-7pm; Sat 11am-6pm; Sun 11am-4pm",Minors should be accompanied.,,jsimpson@indyhumane.org
25,Baltimore Humane Society,Baltimore Humane Society,http://www.bmorehumane.org/,1601 Nicodemus  Road,Reisterstown,MD,21136,(410) 833-8848,"Mon - Fri, 1pm-3pm",Contact to schedule an appointment.,,goldband@bmorehumane.org
26,Animal Allies Humane Society,Animal Allies Humane Society,http://animalallies.net/,4006 Airport Road,Duluth,MN,55811,(218) 722-2110,"All week, 9am-6pm",,,volunteer@animalallies.net
27,Animal Allies Humane Society,Animal Allies Humane Society,http://animalallies.net/,2225 Hill Avenue,Superior,WI ,54880,(715) 394-7387,"Tues - Sun, 12pm-6pm",,,volunteer@animalallies.net
28,Rochester Animal Services,Rochester Animal Services,http://www.cityofrochester.gov/rochesteranimalservices/,184 Verona Street,Rochester,NY,14608,(585) 428-7274,"Mon - Fri, 11am-4:30pm; Wed, 11am-7:30pm; Sat, 12pm-3:30pm",,,jl1226@cityofrochester.gov
29,Dog Adoption and Welfare Group,Dog Adoption and Welfare Group,http://www.sbdawg.org/,5480 Overpass Road,Santa Barbara,CA,93111,(805) 681-0561,"All week, 12pm-5pm ",,,emily.grossheider@sbdawg.org
30,Gulf Coast Humane Society,Gulf Coast Humane Society,http://www.gulfcoasthumanesociety.org/,3118 Cabaniss,Corpus Christi,TX,78415,(361) 225-0845,"Mon - Sat 11am-6pm; Sun, 12pm-6pm",Contact to schedule an appointment. ,,gchs31@yahoo.com
31,Sean Casey Animal Rescue,Sean Casey Animal Rescue,http://www.nyanimalrescue.org/,153 E. 3 Street,Brooklyn,NY,11218,(718) 436-5163,"All week, 12pm-6pm
",,,nyanimalrescue@yahoo.com
32,Animal Rescue League of Iowa,Animal Rescue League of Iowa,http://www.arl-iowa.org/,5452 NE 22nd St,Des Moines,IA,50313, (515) 473-9110,"Tues - Fri, 11am-4pm",Contact to schedule an appointment. No photos on weekends.,,jtalmon@arl-iowa.org
33,Animal Rescue League of Iowa at Southridge Mall,Animal Rescue League of Iowa at Southridge Mall,http://www.arl-iowa.org/,1111 E Army Post Rd,Des Moines,IA,50315,(515) 473-9110,"Thurs & Fri, 12pm-8pm",Contact to schedule an appointment. No photos on weekends.,,jtalmon@arl-iowa.org
